Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FEUL,Credit Suisse FI Enhanced Europe 50 ETN,Equity,"US$289,150,930.00 ",10.66%,"8,619",US$78.35 ,0.40%,No,2x,3.50%,6.90%,N/A,N/A,N/A,"US$2,976,467.50 ",US$0.00 ,"US$2,976,467.50 ","US$345,089,070.00 ","US$345,089,070.00 ","US$345,089,070.00 ",Leveraged Equities,10/5/2018,1.00%,N/A,US$0.00 ,N/A,N/A,0.00%,0,-4.44,50,39.32%,39%,20%,1099,US$72.01 ,US$77.92 ,US$77.97 ,US$78.74 ,57.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GREK,Global X FTSE Greece 20 ETF,Equity,"US$240,786,486.00 ",5.94%,"338,611",US$7.31 ,-0.27%,No,No,1.95%,3.25%,-34.79%,10.26%,-63.48%,"(US$11,228,151.00)","(US$2,162,923.50)","(US$4,667,310.00)","(US$98,144,713.00)","US$44,616,308.50 ","US$366,933,808.50 ",Emerging Markets Equities,7/12/2011,0.59%,2 Platforms,US$0.17 ,28/12/2018,US$0.17 ,2.29%,18.1,1.5,28,68.56%,35%,15%,1099,US$6.95 ,US$7.43 ,US$7.28 ,US$7.35 ,53.88,C,A,C,C,C,B-,C+,N/A,N/A,N/A,N/A,N/A,N/A
EWI,iShares MSCI Italy ETF,Equity,"US$238,156,376.00 ",7.23%,"665,223",US$25.96 ,-0.80%,No,No,-0.04%,4.26%,-20.89%,18.95%,-3.68%,"(US$22,608,207.00)",US$0.00 ,"(US$22,608,207.00)","(US$399,588,845.25)","(US$678,771,366.75)","(US$349,245,726.75)",Europe Equities,12/3/1996,0.47%,TD Ameritrade,US$1.14 ,18/12/2018,US$0.32 ,4.36%,10.18,0.77,27,72.57%,35%,15%,1099,US$24.93 ,US$26.31 ,US$25.88 ,US$26.05 ,56.89,B-,A,B,C+,C,B+,C+,6.15,7.83%,71.64%,324.8,18.30%,2.16%
EWD,iShares MSCI Sweden ETF,Equity,"US$227,316,954.00 ",5.77%,"504,676",US$29.87 ,0.17%,No,No,1.36%,4.84%,-13.97%,22.87%,5.80%,"(US$10,616,596.50)",US$0.00 ,"(US$6,508,674.00)","(US$222,536,984.25)","(US$100,074,315.75)","(US$211,011,315.75)",Europe Equities,12/3/1996,0.53%,N/A,US$1.46 ,18/12/2018,US$0.02 ,4.95%,12.71,0.81,38,54.36%,35%,15%,1099,US$28.51 ,US$29.97 ,US$29.80 ,US$29.99 ,58.72,B+,B+,B,B-,B,A-,B-,7.57,91.49%,98.65%,36.57,2.20%,5.78%
HEWG,iShares Currency Hedged MSCI Germany ETF,Equity,"US$202,905,227.00 ",6.11%,"198,684",US$25.20 ,0.04%,No,No,-0.87%,3.75%,-11.03%,19.02%,N/A,"(US$33,424,671.50)","(US$2,541,324.00)","(US$31,032,506.00)","(US$384,609,732.50)","(US$976,757,178.50)","US$444,952,321.50 ",Europe Equities,31/1/2014,0.53%,N/A,US$0.67 ,3/7/2018,US$0.67 ,2.64%,11.82,0.88,2,100.00%,35%,15%,1099,US$24.03 ,US$25.62 ,N/A,N/A,55.05,B,A-,B-,A,C+,B-,C,N/A,N/A,N/A,N/A,N/A,N/A
FEU,SPDR STOXX Europe 50 ETF,Equity,"US$175,121,633.00 ",5.19%,"64,021",US$31.44 ,0.19%,No,No,1.76%,3.22%,-13.40%,16.18%,1.28%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$87,970,856.00)","(US$52,776,526.50)","US$11,396,635.50 ",Europe Equities,21/10/2002,0.29%,Charles Schwab,US$1.19 ,24/12/2018,US$0.15 ,3.80%,13.95,0.94,51,39.32%,35%,15%,1099,US$30.17 ,US$31.36 ,US$31.33 ,US$31.55 ,58.53,A-,B,A,B-,B+,A-,B,6.96,44.15%,91.75%,87.81,15.29%,4.62%
IEUS,iShares MSCI Europe Small-Cap ETF,Equity,"US$160,059,839.00 ",8.95%,"31,819",US$48.95 ,-0.41%,No,No,-0.02%,6.58%,-18.11%,24.85%,24.48%,"(US$12,120,751.00)","(US$7,322,262.00)","(US$12,120,751.00)","(US$41,652,978.50)","US$104,358,279.50 ","US$120,081,279.50 ",Europe Equities,12/11/2007,0.40%,N/A,US$1.44 ,18/12/2018,US$0.52 ,2.93%,12.8,0.9,1024,5.59%,35%,15%,1099,US$46.31 ,US$49.79 ,US$48.88 ,US$49.09 ,59.05,A,B-,A-,A-,A-,B,A,5.92,3.86%,63.40%,141.97,3.99%,5.18%
FSZ,First Trust Switzerland AlphaDEX Fund,Equity,"US$152,759,291.00 ",7.03%,"15,039",US$46.92 ,-0.49%,No,No,0.47%,5.25%,-15.01%,33.28%,25.72%,"(US$13,155,352.00)",US$0.00 ,"(US$4,506,544.00)","(US$69,003,580.50)","(US$42,959,664.50)","US$132,166,074.50 ",Europe Equities,14/2/2012,0.80%,N/A,US$1.00 ,21/6/2018,US$1.00 ,2.13%,19.54,0.93,40,40.41%,35%,15%,1099,US$44.84 ,US$47.91 ,US$46.79 ,US$47.12 ,57.48,B-,B,C,B+,A,C,B-,6.42,13.96%,79.57%,181.01,3.90%,1.35%
GVAL,Cambria Global Value ETF,Equity,"US$152,481,738.00 ",9.57%,"32,268",US$23.01 ,-0.69%,No,No,0.88%,5.41%,-15.99%,48.35%,N/A,"US$4,476,510.00 ",US$0.00 ,"US$4,476,510.00 ","(US$13,590,226.00)","US$70,391,507.50 ","US$154,641,007.50 ",Foreign Large Cap Equities,12/3/2014,0.68%,Interactive Brokers,US$0.60 ,26/12/2018,US$0.16 ,2.70%,7.74,0.81,135,21.34%,35%,15%,1099,US$21.83 ,US$23.19 ,US$22.96 ,US$23.12 ,60.54,B-,B+,C+,N/A,N/A,B,B,5.59,29.87%,51.84%,473.3,12.68%,2.87%
FGM,First Trust Germany AlphaDEX Fund,Equity,"US$147,015,132.00 ",10.14%,"10,735",US$41.50 ,0.31%,No,No,0.48%,7.88%,-21.51%,30.86%,12.45%,"(US$11,234,887.50)","US$2,063,036.50 ","(US$1,899,948.50)","(US$77,865,110.50)","(US$41,743,333.50)","US$101,296,869.50 ",Europe Equities,14/2/2012,0.80%,N/A,US$0.82 ,14/9/2018,US$0.14 ,1.99%,11.42,1.09,41,40.91%,35%,15%,1099,US$38.50 ,US$42.20 ,US$41.12 ,US$42.17 ,58.54,C+,B,C,B+,B,C+,B-,5.7,2.50%,55.93%,164.37,11.77%,5.62%
EWN,iShares MSCI Netherlands ETF,Equity,"US$138,031,566.00 ",8.14%,"257,437",US$28.44 ,0.39%,No,No,1.28%,7.40%,-13.90%,29.96%,29.92%,"(US$2,546,736.00)","US$5,616,078.00 ","(US$2,546,736.00)","(US$69,152,547.50)","(US$50,683,346.00)","(US$193,150,846.00)",Europe Equities,12/3/1996,0.47%,N/A,US$0.63 ,18/12/2018,US$0.13 ,2.22%,13.96,0.92,60,68.93%,35%,15%,1099,US$26.22 ,US$28.61 ,US$28.33 ,US$28.53 ,61.26,B+,A-,B,A,B,B-,B-,7.07,59.70%,93.56%,82.59,4.46%,2.49%
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund,Equity,"US$130,787,902.00 ",8.67%,"38,632",US$28.71 ,0.00%,No,No,0.03%,6.06%,-8.85%,31.75%,N/A,"(US$2,832,158.00)",US$0.00 ,"(US$2,832,158.00)","(US$8,605,540.00)","(US$173,655,285.00)","US$121,604,255.20 ",Europe Equities,4/3/2015,0.58%,E*TRADE,US$0.62 ,25/6/2018,US$0.62 ,2.15%,14.22,0.82,270,16.10%,35%,15%,1099,US$27.12 ,US$29.10 ,US$28.64 ,US$28.76 ,61.87,A-,B+,C+,N/A,B+,A,A-,5.94,4.09%,64.15%,144.52,2.77%,5.62%
NORW,Global X MSCI Norway ETF,Equity,"US$101,145,356.00 ",7.63%,"154,119",US$12.42 ,0.16%,No,No,1.22%,2.90%,-8.36%,49.99%,-1.29%,"US$3,476,601.00 ",US$0.00 ,US$0.00 ,"(US$36,601,349.50)","US$16,401,491.00 ","US$60,551,491.00 ",Europe Equities,9/11/2010,0.50%,2 Platforms,US$0.54 ,28/12/2018,US$0.54 ,4.35%,15.24,0.85,66,65.38%,35%,15%,1099,US$12.08 ,US$12.52 ,US$12.33 ,US$12.54 ,53.64,C+,B,B-,C,C,A-,B,7.26,76.84%,96.04%,240.82,0.07%,8.33%
RFEU,First Trust RiverFront Dynamic Europe ETF,Equity,"US$74,410,164.00 ",8.38%,"17,203",US$57.02 ,0.04%,No,No,1.31%,7.00%,-16.29%,N/A,N/A,"(US$10,459,836.00)",US$0.00 ,US$0.00 ,"(US$41,305,374.50)","US$52,162,034.50 ","US$52,162,034.50 ",Europe Equities,13/4/2016,0.83%,N/A,US$1.49 ,18/12/2018,US$0.08 ,2.62%,13.44,0.74,125,21.36%,39%,20%,1099,US$53.46 ,US$57.53 ,US$56.90 ,US$57.24 ,61.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.72,25.77%,87.51%,238.67,11.37%,4.91%
EWO,iShares MSCI Austria ETF,Equity,"US$74,156,347.00 ",9.04%,"66,015",US$20.02 ,0.30%,No,No,0.60%,5.04%,-23.15%,51.62%,16.27%,"(US$13,027,004.00)",US$0.00 ,"(US$3,868,064.00)","(US$153,734,084.00)","(US$7,947,438.00)","(US$36,367,438.00)",Europe Equities,12/3/1996,0.47%,N/A,US$0.74 ,18/12/2018,US$0.25 ,3.71%,11.87,1.06,31,72.56%,35%,15%,1099,US$19.00 ,US$20.14 ,N/A,N/A,55.85,C+,B,B+,C+,B,C+,C+,6.68,23.16%,85.79%,223.04,0.00%,13.70%
FLEE,Franklin FTSE Europe ETF,Equity,"US$71,711,110.00 ",6.59%,"7,277",US$22.33 ,0.04%,No,No,1.09%,4.93%,-13.70%,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$24,164,094.00)","US$76,240,986.00 ","US$76,240,986.00 ",Europe Equities,2/11/2017,0.09%,N/A,US$0.81 ,20/12/2018,US$0.25 ,3.63%,16.07,-2.41,589,17.63%,39%,20%,1099,US$21.24 ,US$22.43 ,US$22.29 ,US$22.35 ,59.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,49.26%,92.37%,147.07,12.72%,5.88%
EDEN,iShares MSCI Denmark ETF,Equity,"US$60,193,750.00 ",5.64%,"17,610",US$60.01 ,1.42%,No,No,2.18%,3.42%,-11.14%,16.68%,41.40%,US$0.00 ,US$0.00 ,US$0.00 ,"US$3,578,486.00 ","(US$33,825,388.00)","US$29,376,612.00 ",Europe Equities,25/1/2012,0.53%,N/A,US$1.14 ,18/12/2018,US$0.23 ,1.93%,14.93,0.6,49,64.70%,35%,15%,1099,US$57.99 ,US$60.12 ,US$59.90 ,US$60.19 ,58.13,B,B-,B-,A,B+,C+,B-,7.35,82.41%,97.00%,151.85,6.74%,32.95%
EIRL,iShares MSCI Ireland ETF,Equity,"US$58,255,753.00 ",9.21%,"11,031",US$40.42 ,1.20%,No,No,0.87%,5.04%,-17.21%,8.55%,22.36%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$4,344,612.50)","(US$114,348,272.50)","(US$76,149,772.50)",Europe Equities,5/5/2010,0.47%,N/A,US$0.56 ,18/12/2018,US$0.12 ,1.40%,14.87,0.8,31,75.23%,35%,15%,1099,US$38.34 ,US$40.68 ,US$40.10 ,US$40.71 ,57.87,B+,B-,B,A,A,B-,C+,7.27,78.21%,96.19%,337.77,8.57%,7.74%
FEUZ,First Trust Eurozone AlphaDEX ETF,Equity,"US$53,883,857.00 ",8.31%,"35,005",US$37.01 ,-0.43%,No,No,0.08%,6.44%,-20.29%,32.31%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$11,793,282.00 ","US$56,659,278.50 ","US$79,364,107.50 ",Europe Equities,21/10/2014,0.80%,N/A,US$0.84 ,18/12/2018,US$0.03 ,2.26%,11.9,1,151,12.64%,35%,15%,1099,US$34.90 ,US$37.53 ,US$36.94 ,US$37.15 ,57.72,C,C,C,N/A,B-,C+,A-,6.11,6.81%,70.15%,331.27,9.47%,6.80%
DXGE,WisdomTree Germany Hedged Equity Fund,Equity,"US$53,716,095.00 ",6.57%,"13,166",US$28.22 ,0.39%,No,No,-0.35%,4.17%,-10.87%,23.57%,29.48%,"(US$2,739,919.00)",US$0.00 ,"(US$2,739,919.00)","(US$42,161,055.50)","(US$191,029,460.00)","US$85,909,898.24 ",Europe Equities,17/10/2013,0.48%,E*TRADE,US$0.78 ,25/6/2018,US$0.78 ,2.79%,11.92,0.83,83,54.12%,35%,15%,1099,US$26.78 ,US$28.54 ,US$28.15 ,US$28.26 ,57.38,A-,A-,B,A,C+,A,B+,6.83,32.92%,89.63%,149.56,17.78%,5.98%
EWUS,iShares MSCI United Kingdom Small-Cap ETF,Equity,"US$48,902,872.00 ",10.97%,"8,252",US$37.47 ,0.00%,No,No,0.13%,8.47%,-15.31%,13.43%,7.04%,US$0.00 ,US$0.00 ,US$0.00 ,"US$23,949,154.00 ","US$35,192,549.00 ","US$23,025,549.00 ",Europe Equities,25/1/2012,0.59%,N/A,US$1.19 ,18/12/2018,US$0.51 ,3.16%,13.88,0.92,290,14.19%,35%,15%,1099,US$34.79 ,US$38.30 ,N/A,N/A,62.82,B+,C+,C+,A-,A-,B+,A-,6.23,9.65%,73.86%,154.15,4.76%,5.82%
EWK,iShares MSCI Belgium ETF,Equity,"US$45,445,714.00 ",8.57%,"32,150",US$17.74 ,0.34%,No,No,1.28%,6.29%,-20.89%,10.97%,25.38%,"(US$4,158,278.40)",US$0.00 ,"(US$4,158,278.40)","(US$11,667,480.80)","(US$168,410,752.00)","(US$35,058,352.00)",Europe Equities,12/3/1996,0.47%,N/A,US$0.45 ,18/12/2018,US$0.10 ,2.58%,15.02,0.87,49,65.26%,35%,15%,1099,US$16.80 ,US$17.77 ,US$17.71 ,US$17.77 ,60.31,A-,B+,B+,A-,B+,B,B-,6.56,18.50%,83.15%,149.43,22.36%,7.46%
EURL,Direxion Daily FTSE Europe Bull 3x Shares,Equity,"US$43,374,788.00 ",20.40%,"32,102",US$24.08 ,0.21%,No,3x,2.86%,14.89%,-45.16%,23.04%,-27.08%,"US$408,903.00 ","US$2,411,834.00 ","US$2,411,834.00 ","(US$16,444,048.50)","US$7,576,527.50 ","US$62,794,369.10 ",Leveraged Equities,22/1/2014,1.06%,N/A,US$0.62 ,27/12/2018,US$0.10 ,2.56%,13.3,2.6,2,100.00%,35%,15%,1099,US$20.87 ,US$24.41 ,US$23.95 ,US$24.24 ,58.53,N/A,B,B,C+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Equity,"US$42,739,647.00 ",6.13%,"31,140",US$20.79 ,-0.34%,No,No,0.82%,3.18%,-12.93%,16.82%,4.31%,"(US$13,241,603.50)",US$0.00 ,"(US$13,241,603.50)","(US$20,876,845.50)","(US$22,273,114.50)","(US$475,040.00)",Europe Equities,13/11/2002,0.27%,N/A,US$0.77 ,24/12/2018,US$0.15 ,3.67%,13.6,0.87,84,38.25%,35%,15%,1099,US$20.07 ,US$20.82 ,N/A,N/A,57.68,B+,B,A-,B+,B,A-,B-,6.66,81.48%,85.46%,112.94,11.30%,4.34%
EUDG,WisdomTree Europe Dividend Growth Fund,Equity,"US$41,952,415.00 ",7.30%,"23,018",US$23.89 ,0.25%,No,No,2.23%,5.73%,-12.24%,19.25%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$16,961,193.50)","US$26,385,971.50 ","US$43,980,186.14 ",Europe Equities,7/5/2014,0.58%,E*TRADE,US$0.67 ,24/12/2018,US$0.14 ,2.82%,15.04,0.8,209,37.40%,35%,15%,1099,US$22.53 ,US$23.90 ,US$23.88 ,US$23.90 ,62.26,B,C+,C+,B,A-,B,A-,7.1,95.98%,93.93%,75.04,15.99%,8.61%
EWGS,iShares MSCI Germany Small-Cap ETF,Equity,"US$39,986,165.00 ",10.33%,"5,750",US$53.17 ,-0.11%,No,No,-0.23%,8.29%,-20.41%,47.16%,44.35%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$30,966,339.00)","US$12,691,016.00 ","US$8,765,516.00 ",Europe Equities,25/1/2012,0.59%,N/A,US$1.78 ,18/12/2018,US$0.63 ,3.33%,11.7,0.91,121,29.87%,35%,15%,1099,US$49.10 ,US$54.15 ,US$52.92 ,US$53.59 ,59.18,B-,C+,C+,A-,B,C+,B+,5.4,1.02%,44.82%,72.78,4.77%,3.86%
WBIA,WBI Bull|Bear Rising Income 2000 ETF,Equity,"US$36,094,570.00 ",0.35%,"7,853",US$21.22 ,0.14%,No,No,0.26%,0.24%,-17.55%,1.30%,N/A,"(US$1,059,105.00)",US$0.00 ,"(US$1,059,105.00)","US$3,177,285.00 ","(US$65,991,710.00)","US$51,050,610.00 ",All Cap Equities,25/8/2014,1.08%,N/A,US$0.21 ,28/12/2018,US$0.03 ,1.00%,-9899,0.28,25,46.69%,35%,15%,1099,US$21.06 ,US$21.26 ,US$21.18 ,US$21.26 ,42.53,N/A,N/A,C,N/A,N/A,N/A,N/A,3.93,9.44%,7.30%,21.92,0.00%,0.72%
DBEZ,Xtrackers MSCI EMU Hedged Equity ETF,Equity,"US$35,464,674.00 ",6.92%,"11,313",US$28.29 ,0.00%,No,No,0.18%,4.89%,-7.24%,23.83%,N/A,"(US$2,787,211.00)",US$0.00 ,"(US$2,787,211.00)","(US$10,493,553.50)","(US$52,683,414.50)","US$29,634,761.50 ",Europe Equities,10/12/2014,0.45%,N/A,US$0.68 ,19/12/2018,US$0.18 ,2.39%,12.86,0.78,705,19.67%,35%,15%,1099,US$26.77 ,US$28.60 ,US$28.23 ,US$28.32 ,58.69,A-,B-,B+,N/A,B-,A,A,7.02,52.89%,92.82%,164.52,14.47%,6.19%
GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,Equity,"US$34,041,906.00 ",7.28%,"13,584",US$28.30 ,0.11%,No,No,1.18%,5.52%,-13.34%,N/A,N/A,"(US$2,800,407.00)","(US$2,800,407.00)","(US$2,800,407.00)","(US$23,199,295.50)","US$5,892,946.50 ","US$5,892,946.50 ",Europe Equities,2/3/2016,0.25%,N/A,US$0.90 ,24/12/2018,US$0.10 ,3.19%,15,0.7,399,14.49%,39%,20%,1099,US$26.79 ,US$28.45 ,US$28.25 ,US$28.37 ,60.64,N/A,N/A,A,N/A,N/A,N/A,N/A,7.06,58.46%,93.40%,132.28,10.23%,6.16%
ENOR,iShares MSCI Norway ETF,Equity,"US$32,302,185.00 ",7.85%,"23,785",US$24.86 ,-0.16%,No,No,1.00%,3.07%,-8.42%,49.34%,-1.96%,"(US$2,455,993.00)",US$0.00 ,"(US$2,455,993.00)","(US$4,661,531.00)","US$4,715,415.00 ","US$21,155,415.00 ",Europe Equities,23/1/2012,0.53%,N/A,US$0.64 ,18/12/2018,US$0.14 ,2.59%,14.32,0.82,70,65.23%,35%,15%,1099,US$24.19 ,US$25.06 ,US$24.80 ,US$24.90 ,53.29,C+,B,B-,C,C,A-,B,7.24,75.94%,95.88%,242.25,0.36%,8.29%
EUMV,iShares Edge MSCI Min Vol Europe ETF,Equity,"US$31,148,654.00 ",4.40%,"13,400",US$23.94 ,0.34%,No,No,1.53%,3.30%,-6.71%,13.58%,N/A,"US$7,072,183.00 ",US$0.00 ,"US$7,072,183.00 ","US$2,493,439.00 ","US$9,770,330.00 ","US$26,861,830.00 ",Europe Equities,3/6/2014,0.25%,N/A,US$0.67 ,18/12/2018,US$0.20 ,2.82%,17.82,0.59,203,15.01%,35%,15%,1099,US$23.11 ,US$23.96 ,US$23.91 ,US$23.97 ,60.58,A,C+,A,B+,A+,B,A-,7.3,79.91%,96.48%,112.89,11.24%,7.21%
EFNL,iShares MSCI Finland ETF,Equity,"US$30,623,991.00 ",6.92%,"8,874",US$38.01 ,-0.26%,No,No,-2.19%,4.45%,-9.43%,29.56%,31.33%,"(US$1,862,404.50)",US$0.00 ,"(US$1,862,404.50)","(US$13,566,396.00)","US$93,760.00 ","US$8,703,760.00 ",Europe Equities,25/1/2012,0.53%,N/A,US$1.36 ,18/12/2018,US$0.01 ,3.56%,14.81,0.71,46,70.20%,35%,15%,1099,US$36.47 ,US$39.06 ,US$37.93 ,US$38.18 ,55.53,C+,B-,B-,B-,B,B-,B-,7.61,92.62%,98.83%,252.13,4.47%,6.60%
FLGB,Franklin FTSE United Kingdom ETF,Equity,"US$27,898,407.00 ",8.15%,"20,551",US$23.29 ,0.43%,No,No,2.28%,5.77%,-10.47%,N/A,N/A,"US$1,115,886.00 ",US$0.00 ,"US$1,115,886.00 ","US$25,535,268.50 ","US$25,535,268.50 ","US$25,535,268.50 ",Europe Equities,2/11/2017,0.09%,N/A,US$0.85 ,20/12/2018,US$0.32 ,3.68%,16.8,-1.85,139,42.42%,39%,20%,1099,US$21.90 ,US$23.25 ,US$23.26 ,US$23.32 ,63.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.59,19.41%,83.92%,131.25,15.16%,3.01%
OEUR,O'Shares FTSE Europe Quality Dividend ETF,Equity,"US$25,462,864.00 ",6.54%,"11,877",US$23.12 ,0.74%,No,No,2.09%,4.37%,-8.86%,12.81%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"(US$21,263,361.00)","US$23,201,419.85 ","US$25,524,634.85 ",Europe Equities,19/8/2015,0.48%,N/A,US$0.88 ,30/1/2019,US$0.02 ,3.83%,14.09,0.72,192,35.86%,35%,15%,1099,US$22.05 ,US$23.03 ,US$22.96 ,US$23.24 ,62.28,N/A,N/A,C+,N/A,N/A,C,A-,7.01,94.82%,92.65%,180.64,10.40%,6.30%
PGAL,Global X MSCI Portugal ETF,Equity,"US$25,293,877.00 ",6.89%,"22,947",US$10.77 ,-0.19%,No,No,0.56%,3.01%,-11.55%,26.38%,-18.32%,"(US$3,176,169.50)",US$0.00 ,"(US$3,176,169.50)","(US$23,160,084.00)","(US$4,571,101.00)","US$24,636,399.00 ",Europe Equities,12/11/2013,0.58%,E*TRADE,US$0.46 ,28/12/2018,US$0.46 ,4.30%,16.69,0.85,21,80.55%,35%,15%,1099,US$10.39 ,US$10.77 ,N/A,N/A,58.91,C,B,C+,C,C,A,C,8.01,98.52%,99.68%,541.59,27.86%,17.50%
GXF,Global X FTSE Nordic Region ETF,Equity,"US$23,111,601.00 ",5.32%,"3,427",US$20.67 ,0.19%,No,No,2.12%,3.58%,-10.81%,12.28%,5.77%,"(US$1,030,927.50)",US$0.00 ,"(US$1,030,927.50)","(US$7,638,830.50)","(US$25,731,203.50)","(US$27,250,703.50)",Europe Equities,17/8/2009,0.55%,2 Platforms,US$0.69 ,28/12/2018,US$0.69 ,3.37%,15.43,0.71,31,52.57%,35%,15%,1099,US$19.96 ,US$20.70 ,US$20.67 ,US$20.68 ,59.27,B,B-,B-,B-,B+,A-,C+,7.68,94.78%,99.13%,120.7,3.71%,21.20%
DBGR,Xtrackers MSCI Germany Hedged Equity Fund,Equity,"US$22,264,970.00 ",5.88%,"3,321",US$24.67 ,-0.20%,No,No,-0.92%,3.70%,-11.24%,18.38%,23.35%,"(US$2,396,611.50)",US$0.00 ,"(US$2,396,611.50)","(US$18,277,520.50)","(US$136,314,368.00)","US$9,991,909.88 ",Europe Equities,9/6/2011,0.45%,E*TRADE,US$0.67 ,19/12/2018,US$0.03 ,2.69%,11.82,0.86,66,52.96%,35%,15%,1099,US$23.54 ,US$25.11 ,N/A,N/A,54.85,A,B+,A-,A+,C+,A,B,7.06,59.02%,93.46%,124.15,16.10%,8.93%
JPEU,JPMorgan Diversified Return Europe Equity ETF,Equity,"US$21,787,512.00 ",7.24%,"23,689",US$54.37 ,0.11%,No,No,1.06%,5.90%,-12.08%,19.53%,N/A,"(US$10,684,986.00)",US$0.00 ,"(US$10,684,986.00)","(US$45,476,173.00)","US$10,775,739.00 ","US$10,775,739.00 ",Europe Equities,18/12/2015,0.38%,N/A,US$1.49 ,13/12/2018,US$0.13 ,2.74%,14.16,0.69,358,5.36%,39%,20%,1099,US$51.37 ,US$54.76 ,US$54.29 ,US$54.49 ,61.51,N/A,N/A,A-,N/A,N/A,C,N/A,7.15,68.33%,94.70%,195.32,10.91%,8.78%
SMEZ,SPDR EURO STOXX Small Cap ETF,Equity,"US$19,223,010.00 ",7.08%,"3,405",US$54.79 ,-0.02%,No,No,0.51%,5.32%,-18.04%,29.66%,N/A,"(US$2,721,126.00)","(US$2,721,126.00)","(US$2,721,126.00)","(US$17,375,028.00)","(US$11,181,898.00)","US$19,321,682.00 ",Europe Equities,4/6/2014,0.45%,N/A,US$1.67 ,24/12/2018,US$0.66 ,3.04%,15.26,0.86,98,14.47%,35%,15%,1099,US$51.94 ,US$55.35 ,N/A,N/A,59.39,B+,C+,B+,B,B,B+,B+,6.13,7.60%,71.05%,111.02,4.62%,8.00%
FLEH,Franklin FTSE Europe Hedged ETF,Equity,"US$17,294,928.00 ",6.25%,"14,134",US$21.59 ,0.33%,No,No,1.29%,4.05%,-4.29%,N/A,N/A,"(US$12,824,700.00)","(US$12,824,700.00)","(US$12,824,700.00)","(US$12,824,700.00)","US$17,093,088.00 ","US$17,093,088.00 ",Europe Equities,2/11/2017,0.09%,N/A,US$2.43 ,20/12/2018,US$2.10 ,11.31%,16.08,3.11,589,17.74%,39%,20%,1099,US$20.69 ,US$21.65 ,US$21.52 ,US$21.62 ,57.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.99,48.24%,92.26%,146.33,12.79%,5.85%
EPV,ProShares UltraShort Europe,Equity,"US$16,533,824.00 ",-12.37%,"16,731",US$35.83 ,0.25%,Yes,2x,-1.65%,-9.29%,29.43%,-44.60%,-45.33%,"(US$1,933,718.25)","(US$911,263.25)","(US$911,263.25)","(US$10,819,327.75)","(US$1,841,824.00)","US$8,624,092.66 ",Leveraged Equities,16/6/2009,0.95%,N/A,US$0.08 ,26/12/2018,US$0.08 ,0.22%,0,-1.69,367,19.35%,35%,15%,1099,US$35.29 ,US$39.58 ,US$35.61 ,US$36.00 ,40.29,B,B,C+,A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEWU,iShares Currency Hedged MSCI United Kingdom ETF,Equity,"US$15,728,172.00 ",5.32%,"10,087",US$22.45 ,0.63%,No,No,3.33%,2.81%,-1.56%,29.86%,N/A,"US$1,096,046.00 ","US$1,086,676.00 ","US$1,096,046.00 ","US$2,366,237.00 ","US$7,725,398.00 ","US$10,097,398.00 ",Europe Equities,29/6/2015,0.47%,N/A,US$1.07 ,28/12/2018,US$0.46 ,4.79%,14.28,0.54,2,100.00%,35%,15%,1099,US$21.58 ,US$22.41 ,US$22.40 ,US$22.49 ,57.46,N/A,N/A,B+,N/A,N/A,B-,C,N/A,N/A,N/A,N/A,N/A,N/A
