Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
REM,iShares Mortgage Real Estate ETF,Real Estate,"US$1,188,691,654.00 ",8.94%,"336,156",US$43.51 ,-0.28%,No,No,1.16%,5.99%,13.26%,60.78%,52.43%,"(US$57,563,044.00)","US$2,153,677.00 ","(US$43,479,614.50)","US$145,533,745.50 ","US$275,208,375.00 ","US$341,418,505.88 ",Real Estate,4/5/2007,0.48%,N/A,US$3.99 ,17/12/2018,US$1.02 ,9.16%,8.99,0.45,35,71.13%,35%,15%,1099,US$40.88 ,US$43.83 ,US$43.32 ,US$43.71 ,65.81,B,A,B,C,C,A+,B,2.45,2.41%,0.19%,4.76,0.00%,0.00%
USRT,iShares Core U.S. REIT ETF,Real Estate,"US$1,055,135,073.00 ",11.04%,"288,639",US$49.80 ,-0.64%,No,No,3.00%,11.61%,12.92%,24.85%,54.46%,"US$54,811,325.50 ","US$22,101,195.50 ","US$52,538,902.00 ","US$581,745,247.00 ","US$928,264,353.00 ","US$917,217,853.00 ",Real Estate,4/5/2007,0.08%,N/A,US$2.54 ,17/12/2018,US$0.30 ,5.06%,35.08,0.59,160,35.35%,20%,39%,1099,US$44.55 ,US$50.35 ,US$49.14 ,US$50.38 ,64.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.09,31.93%,9.69%,102.74,1.13%,12.13%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"US$690,303,483.00 ",10.96%,"428,221",US$24.84 ,-0.68%,No,No,3.05%,11.46%,10.97%,29.73%,N/A,"US$44,001,835.50 ","US$19,397,036.00 ","US$63,698,167.50 ","US$338,929,128.50 ","US$632,489,010.50 ","US$662,035,330.50 ",Real Estate,2/2/2015,0.08%,Fidelity,US$1.24 ,21/12/2018,US$0.18 ,5.01%,36.17,0.73,173,35.62%,35%,15%,1099,US$22.22 ,US$25.08 ,US$24.55 ,US$25.11 ,65.49,N/A,N/A,A,N/A,N/A,N/A,A+,4.49,79.52%,18.18%,95.92,1.27%,9.75%
IFGL,iShares International Developed Real Estate ETF,Real Estate,"US$507,580,611.00 ",9.17%,"142,434",US$29.51 ,-0.47%,No,No,1.72%,7.54%,-1.58%,28.99%,26.87%,"US$7,149,654.00 ","(US$11,760,408.00)","(US$8,895,186.00)","(US$121,639,123.00)","(US$121,705,753.00)","(US$202,819,753.00)",Global Real Estate,12/11/2007,0.48%,Fidelity,US$1.11 ,18/12/2018,US$0.32 ,3.73%,8.74,0.67,213,29.59%,35%,15%,1099,US$27.33 ,US$29.79 ,US$29.45 ,US$29.56 ,69.59,A,A+,B+,A-,B+,B+,A-,5.48,80.25%,48.09%,80.67,0.00%,19.22%
MORL,ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN,Real Estate,"US$426,269,917.00 ",15.74%,"296,287",US$14.71 ,0.55%,No,2x,2.22%,7.84%,7.17%,109.44%,82.32%,US$0.00 ,US$0.00 ,US$0.00 ,"US$51,785,450.65 ","US$183,411,171.65 ","US$439,399,026.65 ",Leveraged Real Estate,17/10/2012,0.40%,N/A,US$0.84 ,13/12/2018,US$0.07 ,5.69%,0,0.99,25,63.95%,35%,15%,1099,US$13.29 ,US$14.82 ,US$14.59 ,US$14.87 ,59.63,A+,B,A+,N/A,B+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"US$364,328,466.00 ",18.64%,"88,018",US$31.80 ,-0.87%,No,No,2.35%,11.76%,4.03%,35.59%,41.23%,"(US$8,706,450.00)",US$0.00 ,"(US$4,584,108.50)","US$6,760,566.00 ","US$297,820,293.50 ","US$348,773,103.00 ",Real Estate,2/12/2010,0.35%,N/A,US$2.50 ,22/1/2019,US$0.17 ,7.85%,54.32,0.85,31,43.97%,35%,15%,1099,US$28.76 ,US$32.36 ,US$31.39 ,US$32.20 ,63.03,A,B,A-,A+,B-,A,C+,2.23,0.60%,0.12%,82.24,0.00%,1.76%
REZ,iShares Residential Real Estate ETF,Real Estate,"US$348,004,931.00 ",9.50%,"34,539",US$68.26 ,-1.24%,No,No,2.38%,11.30%,23.48%,25.86%,71.96%,"(US$157,606.50)","US$3,372,063.50 ","(US$157,606.50)","(US$12,747,505.00)","(US$51,565,820.00)","US$29,903,718.00 ",Real Estate,4/5/2007,0.48%,N/A,US$2.26 ,17/12/2018,US$0.54 ,3.30%,37.59,0.37,45,61.03%,35%,15%,1099,US$60.92 ,US$69.43 ,US$67.36 ,US$69.10 ,64.75,A,B+,B-,A-,A-,A-,B,3.38,18.67%,2.41%,79.78,0.00%,8.25%
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"US$311,825,090.00 ",10.29%,"19,235",US$61.22 ,-0.76%,No,No,1.97%,9.36%,0.71%,22.61%,44.97%,"US$20,545,075.50 ","US$5,995,757.00 ","US$20,545,075.50 ","US$54,602,430.50 ","US$120,492,365.50 ","US$279,732,325.51 ",Global Real Estate,5/11/2013,0.45%,N/A,US$1.79 ,21/12/2018,US$0.70 ,2.92%,19.65,0.67,141,31.19%,35%,15%,1099,US$55.81 ,US$62.05 ,US$60.90 ,US$61.49 ,66.11,N/A,N/A,A-,N/A,N/A,N/A,N/A,4.8,35.71%,27.98%,104.22,0.91%,10.30%
WPS,iShares International Property ETF,Real Estate,"US$233,752,483.00 ",9.63%,"124,652",US$37.80 ,-0.74%,No,No,1.91%,7.63%,-3.71%,29.42%,31.90%,"US$97,618,222.00 ","US$97,618,222.00 ","US$97,618,222.00 ","(US$80,551,430.00)","US$93,359,088.00 ","US$60,482,088.00 ",Global Real Estate,7/8/2007,0.48%,N/A,US$1.54 ,18/12/2018,US$0.58 ,4.08%,8.93,0.64,355,26.51%,35%,15%,1099,US$34.86 ,US$38.23 ,US$37.74 ,US$37.89 ,68.86,A,B+,B,A,B+,B+,A,5.53,81.51%,49.71%,77.03,0.12%,17.96%
MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,"US$157,108,275.00 ",9.43%,"43,485",US$23.32 ,0.13%,No,No,1.83%,5.95%,12.90%,61.82%,52.78%,"US$6,811,662.50 ","US$2,299,316.00 ","US$6,811,662.50 ","US$18,616,745.50 ","US$46,491,463.50 ","US$66,309,699.00 ",Real Estate,16/8/2011,0.41%,N/A,US$1.75 ,27/12/2018,US$0.46 ,7.50%,7.02,0.5,26,63.95%,35%,15%,1099,US$21.91 ,US$23.36 ,US$23.16 ,US$23.42 ,65.29,C,B+,B+,C,C,A,C,2.44,1.81%,0.18%,4.5,0.00%,0.00%
SRET,Global X SuperDividend REIT ETF,Real Estate,"US$145,634,858.00 ",11.42%,"81,515",US$15.12 ,-0.72%,No,No,1.96%,8.82%,9.17%,59.98%,N/A,"US$6,592,710.00 ","US$2,237,889.00 ","US$6,592,710.00 ","US$80,726,428.00 ","US$140,677,794.50 ","US$143,468,794.50 ",Real Estate,16/3/2015,0.55%,E*TRADE,US$1.16 ,28/12/2018,US$0.10 ,7.68%,9.35,0.66,31,34.29%,35%,15%,1099,US$13.92 ,US$15.29 ,US$15.01 ,US$15.25 ,64.75,N/A,N/A,C+,N/A,N/A,N/A,B-,2.68,10.24%,0.36%,76.82,3.32%,2.64%
