Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FFR,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,Real Estate,"US$48,441,081.00 ",10.33%,"8,881",US$46.19 ,-0.62%,No,No,2.42%,9.66%,6.28%,26.27%,38.08%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,176,640.50)","(US$54,687,367.50)","(US$63,051,697.19)",Global Real Estate,30/8/2007,0.60%,N/A,US$1.41 ,18/12/2018,US$0.64 ,3.05%,14.24,0.61,336,20.17%,35%,15%,1099,US$42.04 ,US$46.61 ,US$45.89 ,US$46.37 ,67.23,B+,B,C+,B,A,B,A,4.65,21.43%,21.88%,87.08,0.77%,15.17%
DRN,Direxion Daily Real Estate Bull 3x Shares,Real Estate,"US$42,708,614.00 ",35.14%,"40,235",US$22.50 ,-2.05%,No,3x,9.54%,38.38%,24.46%,39.15%,119.07%,"(US$243,136.00)","(US$1,031,630.50)","(US$1,031,630.50)","(US$53,779,116.50)","(US$70,538,692.50)","(US$143,005,030.50)",Leveraged Real Estate,16/7/2009,1.08%,N/A,US$0.52 ,27/12/2018,US$0.13 ,2.26%,34.66,1.82,153,36.10%,35%,15%,1099,US$16.07 ,US$23.07 ,US$21.57 ,US$23.32 ,64.44,B+,A+,C+,A+,C+,N/A,N/A,4.09,0.00%,9.69%,103.22,1.00%,8.92%
TAO,Invesco China Real Estate ETF,Real Estate,"US$40,774,635.00 ",11.03%,"12,187",US$27.03 ,-1.46%,No,No,2.83%,9.81%,-9.20%,84.48%,82.36%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$26,381,189.50)","US$17,684,702.50 ","US$5,875,638.00 ",Global Real Estate,18/12/2007,0.70%,N/A,US$1.90 ,24/12/2018,US$1.90 ,7.02%,8.81,1,68,47.30%,35%,15%,1099,US$24.21 ,US$27.24 ,US$26.94 ,US$27.16 ,63.17,C,A-,C,B-,C+,C+,C,3.77,3.78%,5.34%,109.94,0.00%,10.30%
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"US$33,610,984.00 ",10.24%,"2,613",US$84.15 ,-0.61%,No,No,3.20%,11.22%,10.37%,29.85%,57.09%,US$0.00 ,US$0.00 ,US$0.00 ,"US$8,070,707.50 ","(US$22,628,362.00)","(US$8,202,418.50)",Real Estate,20/11/2008,0.35%,N/A,US$2.02 ,24/12/2018,US$0.70 ,2.40%,36.52,0.57,81,37.42%,35%,15%,1099,US$75.14 ,US$85.39 ,US$81.44 ,US$88.46 ,65.12,C+,C+,C,B+,A,C,B+,4.42,71.08%,16.53%,96.68,0.75%,10.52%
IFEU,iShares Europe Developed Real Estate ETF,Real Estate,"US$32,300,100.00 ",10.42%,"3,158",US$38.03 ,0.08%,No,No,2.26%,9.12%,-5.76%,17.41%,29.79%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$7,421,164.00)","(US$34,249,146.00)","US$4,720,344.00 ",Real Estate,12/11/2007,0.48%,N/A,US$1.67 ,18/12/2018,US$0.42 ,4.38%,8.2,0.74,113,45.22%,35%,15%,1099,US$34.52 ,US$38.46 ,US$37.97 ,US$38.06 ,65.85,C+,C,A-,A-,A-,C,B-,6.35,95.38%,77.53%,54.22,0.00%,24.55%
RORE,Hartford Multifactor REIT ETF,Real Estate,"US$29,271,814.00 ",11.93%,"3,767",US$15.39 ,-0.84%,No,No,2.87%,10.96%,10.24%,N/A,N/A,"US$1,436,781.00 ",US$0.00 ,"US$1,436,781.00 ","US$17,253,780.00 ","US$24,812,525.00 ","US$24,812,525.00 ",Real Estate,3/10/2016,0.45%,N/A,US$0.60 ,20/12/2018,US$0.16 ,3.85%,41.15,0.53,58,23.22%,20%,39%,1099,US$13.88 ,US$15.60 ,US$15.36 ,US$15.40 ,64.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.16,15.66%,1.44%,87.06,3.97%,9.21%
EWRE,Invesco S&P 500® Equal Weight Real Estate ETF,Real Estate,"US$22,935,224.00 ",10.94%,"9,934",US$28.69 ,-0.59%,No,No,2.72%,11.50%,10.60%,26.10%,N/A,"US$1,270,211.50 ",US$0.00 ,US$0.00 ,"US$6,219,325.50 ","US$23,854,727.00 ","US$23,885,701.00 ",Real Estate,13/8/2015,0.40%,N/A,US$0.61 ,26/12/2018,US$0.06 ,2.14%,37.06,0.8,33,32.39%,35%,15%,1099,US$25.60 ,US$29.04 ,US$28.44 ,US$28.90 ,65.76,N/A,N/A,B+,N/A,N/A,N/A,C+,5.03,96.99%,34.17%,99.65,0.00%,11.19%
SRS,ProShares Ultra Short Real Estate,Real Estate,"US$21,251,512.00 ",-18.61%,"37,769",US$25.10 ,1.25%,Yes,2x,-5.64%,-19.03%,-21.20%,-47.52%,-68.51%,"(US$169,199.00)",US$0.00 ,"US$1,371,951.00 ","(US$9,267,572.50)","US$5,213,092.00 ","US$10,996,890.25 ",Leveraged Real Estate,30/1/2007,0.95%,N/A,US$0.14 ,26/12/2018,US$0.08 ,0.57%,0,-1.18,114,36.19%,35%,15%,1099,US$24.43 ,US$31.03 ,US$24.57 ,US$25.69 ,34.59,B,A,C,B,A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRV,Direxion Daily Real Estate Bear 3x Shares,Real Estate,"US$17,172,119.00 ",-27.21%,"136,758",US$7.97 ,2.05%,Yes,3x,-8.71%,-28.07%,-36.52%,-62.13%,-85.83%,"US$1,227,005.00 ","US$1,618,917.00 ","US$1,814,049.50 ","US$9,129,042.00 ","US$19,145,854.50 ","US$26,790,482.74 ",Leveraged Real Estate,16/7/2009,1.09%,N/A,US$0.05 ,27/12/2018,US$0.01 ,0.59%,0,-1.66,185,35.67%,35%,15%,1099,US$7.55 ,US$10.99 ,US$7.68 ,US$8.29 ,35.53,B-,A-,B,B-,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WREI,Invesco Wilshire US REIT ETF,Real Estate,"US$12,020,037.00 ",11.21%,"1,443",US$47.70 ,-0.65%,No,No,3.09%,11.66%,9.95%,19.32%,51.13%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,342,245.00)","(US$6,901,455.50)","(US$6,817,088.50)",Real Estate,9/3/2010,0.32%,N/A,US$1.15 ,26/12/2018,US$0.04 ,2.40%,37.41,0.54,110,41.60%,35%,15%,1099,US$42.29 ,US$48.44 ,US$47.70 ,US$47.70 ,65.94,B-,C,A-,B,C+,B,A-,4.31,55.42%,14.10%,105.91,0.00%,14.24%
REK,ProShares Short Real Estate,Real Estate,"US$8,944,468.00 ",-9.56%,"8,571",US$14.90 ,0.54%,Yes,No,-2.90%,-9.78%,-9.79%,-25.54%,-41.40%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$2,427,920.50)","(US$12,403,418.00)","(US$10,330,918.00)",Real Estate,16/3/2010,0.95%,N/A,US$0.07 ,26/12/2018,US$0.05 ,0.47%,0,-0.58,114,36.19%,35%,15%,1099,US$14.73 ,US$16.56 ,US$14.76 ,US$15.07 ,34.74,A-,B-,B+,B+,A+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Real Estate,"US$6,519,225.00 ",11.87%,"3,860",US$26.11 ,-0.04%,No,No,3.73%,10.50%,N/A,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$3,678,670.00 ","US$3,678,670.00 ","US$3,678,670.00 ",Real Estate,15/5/2018,0.60%,N/A,US$0.50 ,24/12/2018,US$0.18 ,1.95%,45.84,0.88,19,77.38%,39%,20%,1099,US$23.54 ,US$26.20 ,US$25.92 ,US$26.20 ,66.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.46,99.40%,47.48%,139.04,0.00%,13.84%
LRET,ETRACS Monthly Pay 2xLeveraged MSCI US REIT ETN,Real Estate,"US$5,645,534.00 ",17.11%,"1,255",US$24.53 ,-1.21%,No,2x,5.62%,20.83%,11.44%,26.16%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$638,307.00 ","(US$20,440,916.50)","(US$20,440,916.50)",Leveraged Real Estate,6/5/2015,0.85%,N/A,US$0.77 ,13/12/2018,US$0.14 ,3.15%,0,1.4,185,35.67%,35%,15%,1099,US$20.08 ,US$24.98 ,US$24.26 ,US$24.67 ,62.47,N/A,N/A,A-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RTL,Pacer Benchmark Retail Real Estate SCTR ETF,Real Estate,"US$2,764,730.00 ",11.46%,295,US$27.65 ,-0.72%,No,No,2.80%,10.66%,N/A,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$14,530.00 ","US$14,530.00 ","US$14,530.00 ",Real Estate,15/5/2018,0.60%,N/A,US$0.64 ,24/12/2018,US$0.34 ,2.33%,33.33,0.98,34,69.18%,39%,20%,1099,US$25.01 ,US$27.96 ,US$27.56 ,US$27.84 ,64.33,A-,B-,C+,A,A+,A-,B-,3.41,19.28%,2.61%,84.37,4.32%,0.52%
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,Real Estate,"US$2,743,430.00 ",14.42%,"2,089",US$27.45 ,0.04%,No,No,3.18%,15.34%,N/A,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$15,240.00 ","US$15,240.00 ","US$15,240.00 ",Real Estate,14/5/2018,0.60%,N/A,US$0.43 ,24/12/2018,US$0.16 ,1.61%,32.83,0.86,17,74.46%,39%,20%,1099,US$23.76 ,US$27.88 ,US$27.20 ,US$27.57 ,71.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.98,27.71%,8.04%,50.08,0.00%,3.45%
PRME,First Trust Heitman Global Prime Real Estate ETF,Real Estate,"US$2,001,689.00 ",11.34%,"1,093",US$19.98 ,-0.70%,No,No,2.54%,10.73%,2.77%,19.93%,N/A,US$0.00 ,US$0.00 ,US$0.00 ,"US$1,028,178.50 ","(US$25,297.00)","(US$25,297.00)",Global Real Estate,11/11/2015,0.95%,N/A,US$0.60 ,18/12/2018,US$0.21 ,2.97%,14.29,0.78,40,46.09%,39%,20%,1099,US$17.99 ,US$20.23 ,US$19.98 ,US$19.98 ,66,N/A,N/A,C,N/A,N/A,N/A,N/A,5.49,80.67%,48.37%,71.36,1.71%,20.19%
CHIR,Global X MSCI China Real Estate ETF,Real Estate,"US$1,636,828.00 ",9.82%,N/A,US$16.55 ,-1.08%,No,No,5.48%,9.68%,N/A,N/A,N/A,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,Global Real Estate,7/12/2018,0.65%,N/A,US$0.00 ,N/A,N/A,0.00%,0,0,39,65.86%,39%,20%,1099,US$14.60 ,US$16.56 ,US$16.55 ,US$16.55 ,61.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
